short_description,location,starting_time,end_time,duration,long_description,booking_type,created_by,approved,professor,exam,degree,last_change
Analisi matematica,574d383a12f092e806d8eaa7,2016-09-16T09:00:00.000Z,2016-09-16T16:00:00.000Z,7 ore,,Prenotazione,ab640001,true,Boccuto Antonio,true,Informatica I Anno,2016-02-09T11:52:26.000Z
Programmazione dichiarativa,574d383a12f092e806d8eaa2,2016-09-16T11:00:00.000Z,2016-09-16T13:00:00.000Z,2 ore,,Prenotazione,af680003,true,Formisano Andrea,true,Informatica Magistrale II Anno,2015-12-03T13:24:03.000Z
Sistemi operativi con laboratorio,574d383a12f092e806d8eaac,2016-09-16T15:00:00.000Z,2016-09-16T18:00:00.000Z,3 ore,,Prenotazione,af680003,true,Formisano Andrea,true,Informatica II Anno,2015-12-03T13:23:50.000Z
Precorso di Matematica,574d383a12f092e806d8eaa4,2016-09-19T10:00:00.000Z,2016-09-19T12:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Brandi Primo,false,Matematica I Anno,2016-02-02T15:20:21.000Z
Geometria II,574d383a12f092e806d8eaac,2016-09-20T09:00:00.000Z,2016-09-20T13:00:00.000Z,4 ore,Esame,Prenotazione,ac550002,true,Caterino Alessandro,true,Matematica I Anno,2016-05-27T08:48:22.000Z
Precorso di Matematica,574d383a12f092e806d8eaa4,2016-09-20T10:00:00.000Z,2016-09-20T12:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Brandi Primo,false,Matematica I Anno,2016-02-02T15:20:21.000Z
Algoritmi e strutture dati con Laboratorio,574d383a12f092e806d8eaac,2016-09-20T15:00:00.000Z,2016-09-20T18:00:00.000Z,3 ore,,Prenotazione,mp620002,true,Pinotti Maria Cristina,true,Informatica II Anno,2015-09-23T10:56:20.000Z
Precorso di Matematica,574d383a12f092e806d8eaa4,2016-09-21T10:00:00.000Z,2016-09-21T12:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Brandi Primo,false,Matematica I Anno,2016-02-02T15:20:21.000Z
Prova scritta,574d383a12f092e806d8eaac,2016-09-22T09:00:00.000Z,2016-09-22T13:00:00.000Z,4 ore,Prova scritta esame di Analisi Matematica II,Prenotazione,tc590001,true,Tiziana Cardinali,true,Matematica II Anno,2016-05-13T13:05:42.000Z
Geometria II,574d383a12f092e806d8eaaa,2016-09-22T09:00:00.000Z,2016-09-22T14:00:00.000Z,5 ore,Esame,Prenotazione,ac550002,true,Caterino Alessandro,true,Matematica I Anno,2016-05-27T08:48:20.000Z
Lauree Informatica,574d383a12f092e806d8eaa3,2016-09-22T09:00:00.000Z,2016-09-22T19:00:00.000Z,10 ore,,Prenotazione,ws740001,true,Carpi Arturo,false,Informatica,2015-11-24T16:15:50.000Z
Lab di Informatica per Sc Biologiche,574d383a12f092e806d8eaad,2016-09-22T09:00:00.000Z,2016-09-22T11:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Pallottelli Simonetta,true,Altro,2015-12-09T09:36:54.000Z
Laurea Informatica,574d383a12f092e806d8eaa0,2016-09-22T09:00:00.000Z,2016-09-22T19:00:00.000Z,10 ore,,Prenotazione,ws740001,true,Carpi Arturo,false,Informatica,2015-11-24T13:33:40.000Z
Precorso di Matematica,574d383a12f092e806d8eaa4,2016-09-22T10:00:00.000Z,2016-09-22T12:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Brandi Primo,false,Matematica I Anno,2016-02-02T15:20:21.000Z
Esame Calcolo Numerico,574d383a12f092e806d8eaac,2016-09-23T09:00:00.000Z,2016-09-23T14:00:00.000Z,5 ore,,Prenotazione,bi740001,true,Iannazzo Bruno,false,Informatica II Anno,2016-05-12T18:30:20.000Z
Algebra II,574d383a12f092e806d8eaa6,2016-09-23T09:00:00.000Z,2016-09-23T12:00:00.000Z,3 ore,prova scritta,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:14.000Z
Precorso di Matematica,574d383a12f092e806d8eaa4,2016-09-23T10:00:00.000Z,2016-09-23T12:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Brandi Primo,false,Matematica I Anno,2016-02-02T15:20:21.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaa1,2016-09-26T09:00:00.000Z,2016-09-26T13:00:00.000Z,4 ore,,Prenotazione,pr520001,true,Marcugini Stefano,false,Informatica I Anno,2016-05-13T11:42:21.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaad,2016-09-26T09:00:00.000Z,2016-09-26T13:00:00.000Z,4 ore,,Prenotazione,pr520001,true,Marcugini Stefano,false,Informatica I Anno,2016-05-13T11:42:21.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaab,2016-09-26T09:00:00.000Z,2016-09-26T13:00:00.000Z,4 ore,,Prenotazione,pr520001,true,Marcugini Stefano,false,Informatica I Anno,2016-05-13T11:42:21.000Z
Precorso di Matematica,574d383a12f092e806d8eaa4,2016-09-26T10:00:00.000Z,2016-09-26T12:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Brandi Primo,false,Matematica I Anno,2016-02-02T15:20:21.000Z
Fisica generale,574d383a12f092e806d8eaa8,2016-09-27T09:00:00.000Z,2016-09-27T13:00:00.000Z,4 ore,,Prenotazione,ae610001,true,Tosti Gino,true,Informatica,2016-01-18T13:42:27.000Z
Precorso di Matematica,574d383a12f092e806d8eaa4,2016-09-27T10:00:00.000Z,2016-09-27T12:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Brandi Primo,false,Matematica I Anno,2016-02-02T15:20:21.000Z
"Convegno ""Recent trends on nonlinear phenomena""",574d383a12f092e806d8eaa6,2016-09-28T09:00:00.000Z,2016-09-28T19:00:00.000Z,10 ore,,Prenotazione,pr520001,true,Pucci Patrizia,false,Altro,2016-02-04T11:33:49.000Z
Precorso di Matematica,574d383a12f092e806d8eaa4,2016-09-28T10:00:00.000Z,2016-09-28T12:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Brandi Primo,false,Matematica I Anno,2016-02-02T15:20:21.000Z
"Convegno ""Recent trends on nonlinear phenomena""",574d383a12f092e806d8eaa6,2016-09-29T09:00:00.000Z,2016-09-29T19:00:00.000Z,10 ore,,Prenotazione,pr520001,true,Pucci Patrizia,false,Altro,2016-02-04T12:00:35.000Z
Precorso di Matematica,574d383a12f092e806d8eaa4,2016-09-29T10:00:00.000Z,2016-09-29T12:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Brandi Primo,false,Matematica I Anno,2016-02-02T15:20:21.000Z
"Convegno ""Recent trends on nonlinear phenomena""",574d383a12f092e806d8eaa6,2016-09-30T09:00:00.000Z,2016-09-30T19:00:00.000Z,10 ore,,Prenotazione,pr520001,true,Pucci Patrizia,false,Altro,2016-02-04T12:01:11.000Z
Precorso di Matematica,574d383a12f092e806d8eaa4,2016-09-30T10:00:00.000Z,2016-09-30T12:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Brandi Primo,false,Matematica I Anno,2016-02-02T15:20:21.000Z
Testi di valutazione Matematica,574d383a12f092e806d8eaa4,2016-10-03T10:00:00.000Z,2016-10-03T13:00:00.000Z,3 ore,,Prenotazione,pr520001,true,Brandi Primo,false,Matematica I Anno,2016-02-01T13:48:24.000Z
Test di valutazione INFORMATICA,574d383a12f092e806d8eaa1,2016-10-05T09:00:00.000Z,2016-10-05T13:00:00.000Z,4 ore,,Prenotazione,pr520001,true,Carpi Arturo,false,Informatica,2016-05-13T09:55:39.000Z
Test di valutazione INFORMATICA,574d383a12f092e806d8eaad,2016-10-05T09:00:00.000Z,2016-10-05T13:00:00.000Z,4 ore,,Prenotazione,pr520001,true,Carpi Arturo,false,Informatica,2016-05-13T09:56:51.000Z
Test di valutazione INFORMATICA,574d383a12f092e806d8eaab,2016-10-05T09:00:00.000Z,2016-10-05T13:00:00.000Z,4 ore,,Prenotazione,pr520001,true,Carpi Arturo,false,Informatica,2016-05-13T09:57:13.000Z
Test di valutazione MATEMATICA,574d383a12f092e806d8eaa6,2016-10-05T10:00:00.000Z,2016-10-05T13:00:00.000Z,3 ore,,Prenotazione,pr520001,true,Pucci Patrizia,false,Altro,2016-05-13T09:57:37.000Z
Lauree Informatica,574d383a12f092e806d8eaa3,2016-11-17T09:00:00.000Z,2016-11-17T19:00:00.000Z,10 ore,,Prenotazione,ws740001,true,Carpi Arturo,false,Informatica,2015-11-24T16:16:13.000Z
Laurea Informatica,574d383a12f092e806d8eaa0,2016-11-17T09:00:00.000Z,2016-11-17T19:00:00.000Z,10 ore,,Prenotazione,ws740001,true,Carpi Arturo,false,Informatica,2015-11-24T13:34:40.000Z
Fisica generale,574d383a12f092e806d8eaa8,2016-11-18T09:00:00.000Z,2016-11-18T13:00:00.000Z,4 ore,,Prenotazione,ae610001,true,Tosti Gino,true,Informatica,2016-01-18T13:43:23.000Z
