"Breve Descrizione","Gruppo","Sala","Ora Inizio","Ora Fine","Durata","Descrizione completa","Corrispondenza","Creato da","Tipo di prenotazione","Stato dell'approvazione","Docente","E' un esame?","Corso di Studi","Ultima Modifica"
"Sicurezza informatica","Aule","Aula Gialla","14:00:00 - mercoledì 27 aprile 2016","16:00:00 - mercoledì 27 aprile 2016","2 ore","Systems, social and mobile security","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica Magistrale I Anno","08:28:10 - giovedì 25 febbraio 2016"
"Crittografia e applicazioni","Aule","Aula Verde","14:00:00 - mercoledì 27 aprile 2016","16:00:00 - mercoledì 27 aprile 2016","2 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Giulietti Massimo","No","Informatica Magistrale II Anno","11:47:51 - mercoledì 27 aprile 2016"
"Riunione","Aule","C2","16:00:00 - mercoledì 27 aprile 2016","19:00:00 - mercoledì 27 aprile 2016","3 ore","","Altro","ae610001","Prenotazione","Approvato","Vinti Gianluca","No","Altro","15:56:55 - mercoledì 27 aprile 2016"
"Human-computer interaction","Aule","Aula C3","16:00:00 - mercoledì 27 aprile 2016","18:00:00 - mercoledì 27 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Lalli Fabio","No","Informatica Magistrale I Anno","08:32:57 - giovedì 25 febbraio 2016"
"Matematica con elementi di Informatica","Aule","I2","17:00:00 - mercoledì 27 aprile 2016","19:00:00 - mercoledì 27 aprile 2016","2 ore","CdS CTF","Altro","pr520001","Prenotazione","Approvato","Pambianco Fernanda","No","Altro","12:02:12 - venerdì 26 febbraio 2016"
"Prova Laurteandi","Aule","B1","18:00:00 - mercoledì 27 aprile 2016","19:00:00 - mercoledì 27 aprile 2016","1 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Capotorti Andrea","No","Matematica","19:00:31 - martedì 26 aprile 2016"
"Prova Laureandi","Aule","Portatile 4","18:00:00 - mercoledì 27 aprile 2016","19:00:00 - mercoledì 27 aprile 2016","1 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Capotorti Andrea","No","Matematica","19:02:58 - martedì 26 aprile 2016"
"Calcolo Numerico","Aule","A0","09:00:00 - giovedì 28 aprile 2016","11:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Iannazzo Bruno","No","Informatica II Anno","17:34:14 - martedì 23 febbraio 2016"
"Programmazione II con laboratorio","Aule","A2","09:00:00 - giovedì 28 aprile 2016","11:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Marcugini Stefano","No","Informatica I Anno","12:41:43 - martedì 01 marzo 2016"
"Net Campus Day","Aule","A3","09:00:00 - giovedì 28 aprile 2016","13:00:00 - giovedì 28 aprile 2016","4 ore","","Altro","pr520001","Prenotazione","Approvato","Vinti Gianluca","No","Altro","11:25:40 - martedì 26 aprile 2016"
"Geometria I","Aule","B1","09:00:00 - giovedì 28 aprile 2016","11:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Caterino Alessandro","No","Matematica","09:23:04 - venerdì 22 aprile 2016"
"Analisi Matematica III","Aule","B3","09:00:00 - giovedì 28 aprile 2016","11:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Filippucci Roberta","No","Matematica II Anno","09:24:37 - mercoledì 24 febbraio 2016"
"Basi di dati su larga scala e data mining","Aule","I2","09:00:00 - giovedì 28 aprile 2016","11:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Poggioni Valentina","No","Informatica Magistrale I Anno","08:18:59 - giovedì 25 febbraio 2016"
"Analisi Matematica V","Aule","Sala Riunioni","09:00:00 - giovedì 28 aprile 2016","11:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Pucci Patrizia","No","Informatica Magistrale I Anno","11:42:38 - giovedì 14 aprile 2016"
"Linguaggi di realtà virtuale","Aule","Aula C3","09:00:00 - giovedì 28 aprile 2016","11:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Gervasi Osvaldo","No","Informatica III Anno","18:11:50 - martedì 23 febbraio 2016"
"Pianificazione della sicurezza informatica e elementi di informatica forense","Aule","Aula Gialla","09:00:00 - giovedì 28 aprile 2016","11:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Milani Alfredo","No","Informatica","11:09:18 - martedì 08 marzo 2016"
"Net Campus Day","Aule","NB20","09:00:00 - giovedì 28 aprile 2016","13:00:00 - giovedì 28 aprile 2016","4 ore","","Altro","pr520001","Prenotazione","Approvato","Vinti Gianluca","No","Altro","11:26:01 - martedì 26 aprile 2016"
"Net Campus Day","Aule","Portatile 4","09:00:00 - giovedì 28 aprile 2016","11:00:00 - giovedì 28 aprile 2016","2 ore","","Altro","ws740001","Prenotazione","Approvato","Vinti Gianluca","No","Altro","11:28:23 - martedì 26 aprile 2016"
"Geometria","Aule","I1","10:00:00 - giovedì 28 aprile 2016","12:00:00 - giovedì 28 aprile 2016","2 ore","CdL Scienze della Formazione Primaria","Altro","pr520001","Prenotazione","Approvato","Faina Giorgio","No","Altro","11:02:38 - venerdì 26 febbraio 2016"
"Ingegneria del software","Aule","A0","11:00:00 - giovedì 28 aprile 2016","13:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Milani Alfredo","No","Informatica II Anno","17:44:24 - martedì 23 febbraio 2016"
"Matematica Discreta - Modulo II","Aule","A2","11:00:00 - giovedì 28 aprile 2016","13:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Fatabbi Giuliana","No","Informatica I Anno","16:11:55 - martedì 23 febbraio 2016"
"Probabilità e statistica  modulo 1","Aule","B3","11:00:00 - giovedì 28 aprile 2016","13:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Coletti Giulianella","No","Matematica II Anno","12:43:08 - martedì 03 maggio 2016"
"Algebra II","Aule","I2","11:00:00 - giovedì 28 aprile 2016","13:00:00 - giovedì 28 aprile 2016","2 ore","D.A. Calussi","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Lorenzini Anna","No","Matematica","14:07:03 - giovedì 14 aprile 2016"
"Geometria V","Aule","Sala Riunioni","11:00:00 - giovedì 28 aprile 2016","13:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Tancredi Alessandro","No","Matematica Magistrale I Anno","11:43:58 - giovedì 14 aprile 2016"
"Sistemi aperti e distribuiti","Aule","Aula C3","11:00:00 - giovedì 28 aprile 2016","13:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Tasso Sergio","No","Informatica III Anno","18:16:37 - martedì 23 febbraio 2016"
"Net Campus Day","Aule","Portatile 4","11:00:00 - giovedì 28 aprile 2016","13:00:00 - giovedì 28 aprile 2016","2 ore","","Altro","pr520001","Prenotazione","Approvato","Vinti Gianluca","No","Altro","11:26:16 - martedì 26 aprile 2016"
"Lauree Matematica","Aule","Sala Riunioni","13:00:00 - giovedì 28 aprile 2016","19:00:00 - giovedì 28 aprile 2016","6 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Pucci Patrizia","No","Matematica","09:47:11 - mercoledì 27 aprile 2016"
"Lauree Matematica","Aule","Portatile 4","13:00:00 - giovedì 28 aprile 2016","19:00:00 - giovedì 28 aprile 2016","6 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Pucci Patrizia","No","Matematica","09:47:11 - mercoledì 27 aprile 2016"
"Linguaggi formali e compilatori","Aule","A0","14:00:00 - giovedì 28 aprile 2016","16:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Carpi Arturo","No","Informatica II Anno","17:45:20 - martedì 23 febbraio 2016"
"Analisi matematica - Modulo II","Aule","A2","14:00:00 - giovedì 28 aprile 2016","17:00:00 - giovedì 28 aprile 2016","3 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Boccuto Antonio","No","Informatica I Anno","12:27:14 - sabato 27 febbraio 2016"
"Calcolo delle probabilità","Aule","B1","14:00:00 - giovedì 28 aprile 2016","16:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Capotorti Andrea","No","Matematica","17:21:56 - giovedì 17 marzo 2016"
"Modelli e sistemi dell'intelligenza Artificiale-Intelligenza Artificiale","Aule","B3","14:00:00 - giovedì 28 aprile 2016","16:00:00 - giovedì 28 aprile 2016","2 ore","Interactive intelligent devices, systems and environments","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Milani Alfredo","No","Informatica Magistrale I Anno","08:27:07 - giovedì 25 febbraio 2016"
"Metodi per l\'ottimizzazione","Aule","C2","14:00:00 - giovedì 28 aprile 2016","16:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Gerace Ivan","No","Informatica Magistrale I Anno","13:38:19 - giovedì 03 marzo 2016"
"Matematiche Complementari","Aule","Aula C3","14:00:00 - giovedì 28 aprile 2016","16:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Faina Giorgio","No","Matematica","11:48:04 - mercoledì 24 febbraio 2016"
"Programmazione concorrente e parallela","Aule","Aula Gialla","14:00:00 - giovedì 28 aprile 2016","16:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Tasso Sergio","No","Informatica Magistrale II Anno","11:05:23 - giovedì 25 febbraio 2016"
"Informatica I","Aule","A3","15:00:00 - giovedì 28 aprile 2016","17:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Baioletti Marco","No","Matematica I Anno","11:15:28 - giovedì 07 aprile 2016"
"Diritto dell\'Informatica e delle Comunicazioni - modulo II","Aule","A0","16:00:00 - giovedì 28 aprile 2016","18:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Florindi Emanuele","No","Informatica II Anno","09:31:41 - giovedì 25 febbraio 2016"
"Mathematical Models for Finance","Aule","B1","16:00:00 - giovedì 28 aprile 2016","18:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Cretarola Alessandra","No","Matematica Magistrale II Anno","08:39:09 - giovedì 28 aprile 2016"
"Topologia I","Aule","B3","16:00:00 - giovedì 28 aprile 2016","18:00:00 - giovedì 28 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Stramaccia Luciano","No","Matematica III Anno","19:24:27 - giovedì 03 marzo 2016"
"Linguaggi formali e compilatori","Aule","A0","09:00:00 - venerdì 29 aprile 2016","11:00:00 - venerdì 29 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Carpi Arturo","No","Informatica II Anno","17:46:06 - martedì 23 febbraio 2016"
"Geometria I","Aule","A3","09:00:00 - venerdì 29 aprile 2016","11:00:00 - venerdì 29 aprile 2016","2 ore","D.A.","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Caterino","No","Matematica I Anno","14:11:04 - giovedì 14 aprile 2016"
"Calcolo delle probabilità","Aule","B1","09:00:00 - venerdì 29 aprile 2016","11:00:00 - venerdì 29 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Capotorti Andrea","No","Matematica III Anno","09:20:49 - venerdì 11 marzo 2016"
"Analisi Matematica III","Aule","B3","09:00:00 - venerdì 29 aprile 2016","11:00:00 - venerdì 29 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Filippucci Roberta","No","Matematica II Anno","09:24:37 - mercoledì 24 febbraio 2016"
"Combinatorics","Aule","C2","09:00:00 - venerdì 29 aprile 2016","11:00:00 - venerdì 29 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Vincenti Rita","No","Matematica","08:23:59 - mercoledì 24 febbraio 2016"
"Lauree di Matematica","Aule","Sala Riunioni","09:00:00 - venerdì 29 aprile 2016","13:00:00 - venerdì 29 aprile 2016","4 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Pucci Patrizia","No","Matematica","09:28:52 - mercoledì 23 marzo 2016"
"Algoritmi di ricostruzione delle immagini","Aule","Aula C3","09:00:00 - venerdì 29 aprile 2016","11:00:00 - venerdì 29 aprile 2016","2 ore","LM Fisica Medica","Altro","pr520001","Prenotazione","Approvato","Vinti Gianluca","No","Altro","11:17:17 - venerdì 01 aprile 2016"
"Sicurezza informatica","Aule","Aula Gialla","09:00:00 - venerdì 29 aprile 2016","11:00:00 - venerdì 29 aprile 2016","2 ore","Systems, social and mobile security","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica Magistrale I Anno","08:28:47 - giovedì 25 febbraio 2016"
"Ingegneria del software","Aule","A0","11:00:00 - venerdì 29 aprile 2016","13:00:00 - venerdì 29 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Milani Alfredo","Yes","Informatica","10:55:53 - venerdì 29 aprile 2016"
"Ingegneria del software","Aule","A2","11:00:00 - venerdì 29 aprile 2016","13:00:00 - venerdì 29 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Milani Alfredo","Yes","Informatica","11:37:44 - venerdì 22 aprile 2016"
"Algebra II","Aule","A3","11:00:00 - venerdì 29 aprile 2016","13:00:00 - venerdì 29 aprile 2016","2 ore","Tutorato Calussi","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Lorenzini Anna","No","Matematica I Anno","14:11:13 - giovedì 14 aprile 2016"
"Mathematical Models for Finance","Aule","B1","11:00:00 - venerdì 29 aprile 2016","13:00:00 - venerdì 29 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Cretarola Alessandra","No","Matematica","14:21:13 - lunedì 14 marzo 2016"
"Storia delle Matematiche I","Aule","B3","11:00:00 - venerdì 29 aprile 2016","13:00:00 - venerdì 29 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Nucci","No","Matematica III Anno","11:53:59 - martedì 23 febbraio 2016"
"Equazioni Differenziali","Aule","C2","11:00:00 - venerdì 29 aprile 2016","13:00:00 - venerdì 29 aprile 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Cardinali Tiziana","No","Matematica","11:39:07 - lunedì 21 marzo 2016"
"Programmazione 3","Aule","Aula C3","11:00:00 - venerdì 29 aprile 2016","13:00:00 - venerdì 29 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Baioletti Marco","No","Informatica III Anno","18:14:08 - martedì 23 febbraio 2016"
"Modelli e sistemi dell'intelligenza Artificiale-Intelligenza Artificiale","Aule","Aula Gialla","11:00:00 - venerdì 29 aprile 2016","13:00:00 - venerdì 29 aprile 2016","2 ore","Interactive intelligent devices, systems and environments","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Milani Alfredo","No","Informatica Magistrale I Anno","08:27:24 - giovedì 25 febbraio 2016"
"Sistemi con vincoli e rappresentazione della conoscenza","Aule","Aula Verde","11:00:00 - venerdì 29 aprile 2016","13:00:00 - venerdì 29 aprile 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica Magistrale II Anno","08:51:42 - giovedì 25 febbraio 2016"
"Geometria II - esercitazione scritta","Aule","A2","14:00:00 - venerdì 29 aprile 2016","18:00:00 - venerdì 29 aprile 2016","4 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Caterino Alessandro","No","Matematica I Anno","11:37:29 - giovedì 21 aprile 2016"
"Fisica generale","Aule","A0","09:00:00 - lunedì 02 maggio 2016","11:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Tosti Gino","No","Informatica II Anno","15:15:02 - giovedì 25 febbraio 2016"
"Matematica Discreta - Modulo II","Aule","A2","09:00:00 - lunedì 02 maggio 2016","11:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Fatabbi Giuliana","No","Informatica I Anno","16:14:17 - martedì 23 febbraio 2016"
"Geometria II","Aule","A3","09:00:00 - lunedì 02 maggio 2016","11:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Caterino Alessandro","No","Matematica","16:13:01 - lunedì 21 marzo 2016"
"Probabilità e Statistica modulo 2","Aule","B3","09:00:00 - lunedì 02 maggio 2016","11:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Capotorti Andrea","No","Matematica II Anno","11:33:22 - martedì 23 febbraio 2016"
"Combinatorics","Aule","C2","09:00:00 - lunedì 02 maggio 2016","11:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Vincenti Rita","No","Matematica","08:23:59 - mercoledì 24 febbraio 2016"
"Sicurezza informatica","Aule","Aula Gialla","09:00:00 - lunedì 02 maggio 2016","11:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica Magistrale I Anno","08:27:51 - giovedì 25 febbraio 2016"
"Probabilità e Statistica - II PARTE","Aule","Aula Verde","09:00:00 - lunedì 02 maggio 2016","11:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Capotorti Andrea","No","Matematica II Anno","12:52:13 - giovedì 17 marzo 2016"
"Algoritmi e strutture dati con Laboratorio - Modulo II","Aule","A0","11:00:00 - lunedì 02 maggio 2016","13:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Gerace Ivan","No","Informatica II Anno","17:28:02 - martedì 23 febbraio 2016"
"Programmazione II con laboratorio","Aule","A2","11:00:00 - lunedì 02 maggio 2016","13:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Marcugini Stefano","No","Informatica I Anno","11:06:42 - lunedì 29 febbraio 2016"
"Informatica I","Aule","A3","11:00:00 - lunedì 02 maggio 2016","13:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Baioletti Marco","No","Matematica I Anno","09:09:43 - mercoledì 16 marzo 2016"
"Fondamenti di Geometria","Aule","B1","11:00:00 - lunedì 02 maggio 2016","13:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Zappa Paolo","No","Matematica","08:34:33 - mercoledì 24 febbraio 2016"
"Fisica Matematica I","Aule","B3","11:00:00 - lunedì 02 maggio 2016","13:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Salvatori Maria Cesarina","No","Matematica III Anno","11:18:10 - mercoledì 02 marzo 2016"
"Equazioni Differenziali","Aule","C2","11:00:00 - lunedì 02 maggio 2016","13:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Cardinali Tiziana","No","Matematica","11:39:07 - lunedì 21 marzo 2016"
"Calcolo distribuito e sistemi ad alte prestazioni","Aule","Aula Gialla","11:00:00 - lunedì 02 maggio 2016","13:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Gervasi Osvaldo","No","Informatica Magistrale I Anno","14:13:37 - lunedì 21 marzo 2016"
"Sistemi con vincoli e rappresentazione della conoscenza","Aule","Aula Verde","11:00:00 - lunedì 02 maggio 2016","13:00:00 - lunedì 02 maggio 2016","2 ore","Systems, social and mobile securiry","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica Magistrale II Anno","08:51:00 - giovedì 25 febbraio 2016"
"Programmazione II con laboratorio","Aule","Portatile 4","11:00:00 - lunedì 02 maggio 2016","13:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Marcugini Stefano","No","Informatica I Anno","11:06:42 - lunedì 29 febbraio 2016"
"Fisica I","Aule","A3","14:00:00 - lunedì 02 maggio 2016","16:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Plazanet Marie Genevieve","No","Matematica","16:10:35 - lunedì 21 marzo 2016"
"Fondamenti di Geometria","Aule","B1","14:00:00 - lunedì 02 maggio 2016","16:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Zappa Paolo","No","Matematica","08:37:32 - mercoledì 24 febbraio 2016"
"Calcolo delle probabilità","Aule","C2","14:00:00 - lunedì 02 maggio 2016","18:00:00 - lunedì 02 maggio 2016","4 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Capotorti Andrea","No","Matematica","11:28:02 - venerdì 15 aprile 2016"
"Tutorato Fisica Generale","Aule","I1","14:00:00 - lunedì 02 maggio 2016","16:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Tosti Gino","No","Informatica II Anno","11:22:29 - mercoledì 27 aprile 2016"
"Matematica per Geologia","Aule","I2","14:00:00 - lunedì 02 maggio 2016","16:00:00 - lunedì 02 maggio 2016","2 ore","","Altro","pr520001","Prenotazione","Approvato","Benedetti Irene","No","Altro","15:15:17 - sabato 05 marzo 2016"
"Matematiche Complementari","Aule","Aula C3","14:00:00 - lunedì 02 maggio 2016","16:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Faina Giorgio","No","Matematica","11:48:04 - mercoledì 24 febbraio 2016"
"Calcolo distribuito e sistemi ad alte prestazioni","Aule","Aula Gialla","14:00:00 - lunedì 02 maggio 2016","18:00:00 - lunedì 02 maggio 2016","4 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Gervasi Osvaldo","No","Informatica Magistrale I Anno","08:25:07 - giovedì 25 febbraio 2016"
"Strumenti per il web e data management","Aule","Aula Verde","14:00:00 - lunedì 02 maggio 2016","16:00:00 - lunedì 02 maggio 2016","2 ore","Scienze Politiche","Altro","pr520001","Prenotazione","Approvato","Bistarelli Stefano","No","Altro","11:35:20 - mercoledì 23 marzo 2016"
"Algoritmi e strutture dati con Laboratorio - Modulo I","Aule","A0","15:00:00 - lunedì 02 maggio 2016","17:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Pinotti Maria Cristina","No","Informatica II Anno","15:36:02 - giovedì 25 febbraio 2016"
"Programmazione II con laboratorio","Aule","A2","15:00:00 - lunedì 02 maggio 2016","17:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Marcugini Stefano","No","Informatica I Anno","17:32:45 - giovedì 03 marzo 2016"
"Crittografia e applicazioni","Aule","B3","15:00:00 - lunedì 02 maggio 2016","17:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Giulietti Massimo","No","Informatica Magistrale II Anno","08:34:28 - giovedì 25 febbraio 2016"
"Programmazione II con laboratorio","Aule","Portatile 4","15:00:00 - lunedì 02 maggio 2016","17:00:00 - lunedì 02 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Marcugini Stefano","No","Informatica I Anno","11:07:14 - lunedì 29 febbraio 2016"
"Matematica con elementi di Informatica","Aule","A2","17:00:00 - lunedì 02 maggio 2016","19:00:00 - lunedì 02 maggio 2016","2 ore","CdS CTF","Altro","pr520001","Prenotazione","Approvato","Pambianco Fernanda","No","Altro","11:56:59 - venerdì 26 febbraio 2016"
"Algoritmi e strutture dati con Laboratorio - Modulo I","Aule","A0","09:00:00 - martedì 03 maggio 2016","11:00:00 - martedì 03 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Pinotti Maria Cristina","No","Informatica II Anno","17:25:59 - martedì 23 febbraio 2016"
"Architettura degli Elaboratori con Laboratorio","Aule","A2","09:00:00 - martedì 03 maggio 2016","11:00:00 - martedì 03 maggio 2016","2 ore","","Altro","pr520001","Prenotazione","Approvato","Navarra","No","Informatica I Anno","09:57:56 - giovedì 14 aprile 2016"
"Fisica I","Aule","A3","09:00:00 - martedì 03 maggio 2016","11:00:00 - martedì 03 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Plazanet Marie Genevieve","No","Matematica","09:15:08 - mercoledì 24 febbraio 2016"
"Geometria V","Aule","B3","09:00:00 - martedì 03 maggio 2016","11:00:00 - martedì 03 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Tancredi Alessandro","No","Matematica Magistrale I Anno","12:17:10 - martedì 23 febbraio 2016"
"Sistemi aperti e distribuiti","Aule","Aula C3","09:00:00 - martedì 03 maggio 2016","11:00:00 - martedì 03 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Tasso Sergio","No","Informatica III Anno","18:15:39 - martedì 23 febbraio 2016"
"Calcolo distribuito e sistemi ad alte prestazioni","Aule","Aula Gialla","09:00:00 - martedì 03 maggio 2016","11:00:00 - martedì 03 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Gervasi Osvaldo","No","Informatica Magistrale I Anno","08:25:25 - giovedì 25 febbraio 2016"
"Pianificazione della sicurezza informatica e elementi di informatica forense","Aule","Aula Verde","09:00:00 - martedì 03 maggio 2016","11:00:00 - martedì 03 maggio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Milani Alfredo","No","Informatica","11:15:17 - martedì 08 marzo 2016"
"Geometria","Aule","I1","10:00:00 - martedì 03 maggio 2016","12:00:00 - martedì 03 maggio 2016","2 ore","CdL Scienze della Formazione Primaria","Altro","pr520001","Prenotazione","Approvato","Faina Giorgio","No","Altro","11:01:40 - venerdì 26 febbraio 2016"
"Algoritmi e strutture dati con Laboratorio - Modulo II","Aule","A0","11:00:00 - martedì 03 maggio 2016","13:00:00 - martedì 03 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Gerace Ivan","No","Informatica II Anno","17:28:49 - martedì 23 febbraio 2016"
"Analisi matematica - Modulo II","Aule","A2","11:00:00 - martedì 03 maggio 2016","13:00:00 - martedì 03 maggio 2016","2 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Boccuto Antonio","No","Informatica I Anno","16:23:17 - martedì 23 febbraio 2016"
